University,Applicant_Num_ 22,Admitted_Num_22,Total_Enrollment_22,Applicant_Num_21,Admitted_Num_21,Total_Enrollment_21,Applicant_Num_20,Admitted_Num_20,Total_Enrollment_20,Applicant_Num_19,Admitted_Num_19,Total_Enrollment_19,Applicant_Num_18,Admitted_Num_18,Total_Enrollment_18,Applicant_Num_17,Admitted_Num_17,Total_Enrollment_17
Southern Methodist University,16150,8439,1639,15685,8333,1572,14010,7379,1531,13959,6601,1544,12603,6457,1530,13128,6402,1423
American University,19510,7926,1768,19650,12594,2372,20036,7744,1607,18545,6691,1754,18986,5990,1757,18699,5498,1785
Baylor University,40753,18699,3296,36588,20741,4258,33680,23061,3731,34582,15676,3307,34681,17910,3366,37083,14442,3320
Lehigh University,15163,5607,1511,14107,6485,1519,12389,6138,1370,15649,5023,1406,15622,3488,1275,13871,3489,1234
Syracuse University,41489,21471,4108,39682,23489,3765,32005,21994,3499,35299,15664,3660,34981,17443,3599,33099,15517,3649
University of Denver,19342,15024,1638,22694,14440,1621,22723,13785,1375,21028,12028,1351,20475,11475,1477,19904,11554,1504
Univerity of Miami,49167,9311,2371,42244,7023,2766,40131,13280,2358,38919,10557,2203,34279,11020,2366,30634,10936,2211
Texas Christian University,16197,9087,2491,19782,10606,2560,21145,10155,2287,19028,8966,2159,20156,8210,2194,19740,8110,1955
